Character,Dialogue,Sentiment
JOHN,It's none of your business. She didn't have small eyes.,Negative
BASIL EXPOSITION,"A lot's happened since you were frozen, Austin. The cold war's over.",Negative
ELAINE,"But Ted, you're the only...",Positive
RODERICK,"Not yet, but I believe he intends to.",Positive
MOZART,"Tea? Who wants tea? Let's go out! This calls for a feast. You don't want tea, Papa. Let's go dancing. Papa loves parties, don't you?",Negative
DOROTHY,"Jump twenty feet!  You wouldn't dare to do any such thing on Daisy. There's the captain's horse, Black George, I've heard say that Captain Bes --",Positive
JAM,"Of course, but has that ever stopped me before? Besides, my mom's going to some church meeting and won't be back till late. No sweat... See you guys in school.",Positive
BOB,"Well, obviously, we got to go back.",Negative
MANTAN,...like fried and chicken...,Negative
LAZARUS,How you feelin' today?,Positive
PATRICK,Nothing is wrong with you. You're the most wonderful person I've ever met.,Positive
CLEMENTINE,"It's helpful to think there's some order to things. You're kind of closed mouthed, aren't you?",Negative
SVEN,Yes it does! We could be at sea for months.,Positive
HELEN,"Yes, yes it is!",Positive
ELAINE,Request; life support systems check.,Negative
CORNELIUS,"Later, David! Later! There's not a minute to lose!",Positive
REEF,"So all of a sudden his only son drops out of school, be- gins making noises like a pacifist.  A real egghead, do-gooder, and crackpot!  'Ban the atom tests!  Junk the nuclear subs!  Spend the mili- tary budgetfor peace!'",Negative
AUNT BARBARA,"Jeffrey, you're not going down by Lincoln, are you?",Negative
WELLES,"So, he sent you, gave you the money, his errand-boy.  And if you refused, it wasn't like you could tell anyone your pervert boss just asked you to get him a snuff film.  That's the beauty of lawyer/client privilege.",Positive
BATEMAN,"Two-hundred-and-fifty. Very reasonable. Let's leave a big tip, shall we? My place hr a nightcap?",Negative
NICKY,What do you want from me? I was reassigned. I'm out.,Negative
SIR AUGUST,You mean you don't recall??,Negative
JILL,But it's not funny now.,Negative
JOHN,I just can't find a nest. The root of the problem. I've looked everywhere. What's the Russian for ant? Sorry that's a stupid... Sorry. This is strange isn't it.,Negative
RICK,"Maybe not today, maybe not tomorrow, but soon, and for the rest of your life.",Positive
MERRICK,Hello... my name is... John Merrick.,Positive
LT,There's nothing to think about. Either you put in my bet or you ain't getting nothing.,Negative
SHEPHERD,"With all due respect, sir, maybe you should give them this one.  Your numbers are still pretty low and you called in a lot of chips to nail Stravanavitch.",Negative
LISA,"Oh c'mon, I love 'em, but you know they only had me 'cause Peter needed a kidney.",Negative
ELAINE,"Ted, get a grip on yourself.  You should never have left the hospital.",Negative
TRENTINO,"What is money?  Mrs. Teasdale, for you -- I would do anything.",Negative
EVE,Go to the bathroom.,Negative
BATEMAN,"Listen, what's your name?",Negative
LARCH,"Christ, it's oil of tansy!",Negative
TREVES,"So you'll bring him to me, tomorrow, 10:00 a.m.? Mr...?",Negative
PRINCESS,That is not possible.,Negative
LARGE,"Here's the deal: You meet me tonight across from the Garden. 33rd & 8th. At the beginning of the Ninth Inning. We'll listen to the end of the game together. You bring your cash, I'll bring mine.",Positive
BRUCE,Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?,Negative
MOZART,No one calls you that.,Negative
CANDY,"We should take her to St. Cloud's. That much is obvious, isn't it? Let her make up her mind when she gets there...",Positive
MILLER,"Not acceptable. I want to know what's causing those readings. If the crew is dead, I want the bodies, I want the crew found.",Negative
RICK,"-- Sacha, call a cab.",Negative
EMMA,So ... I distract him while you snoop around? How?,Negative
MARCHENA,That's what it says.,Positive
MRS. HALLIGAN,"That's just what I'm trying to tell you, sir. It was a half hour after the Dooley sisters . . .",Negative
EMMA,So what was all this -- some sort of test?,Negative
ROSE,You got what you wanted. You going to release us now?,Positive
ALICE,How did you know that?,Negative
DR. REDFIELD,Where are you now?,Negative
GRINDLE,I hate it when we gotta fucking go look for it.,Negative
DEBBIE,"Alright, I think I see salvation...",Positive
MR. ROSE,"There ain't no *almost* about this stuff, Homer--ain't that right?",Negative
ADAM,"I was thinking that, uh...you know, while I was up there and all...that maybe I could, you know...try to meet a girl.  I've, been thinking about that a little...just these last...fifteen years or so.",Negative
DECKARD,Never been more sure of anything in my life.,Positive
HELEN,I'm afraid you've got to.,Negative
CORNELIUS,Weddings are one floor down. Congratulations.,Positive
VALENTINE,The missing piece of the jigsaw. I tried to get you to give it to me as Peter; I tried to steal it from you as Dr. Darling. As myself I'll be a bit less subtle.  With this ring my plan will be complete.,Positive
KORSHUNOV,You must be tired. It'll wake you up.,Positive
